ident,type,name,latitude_deg,longitude_deg,elevation_ft,state,iata_code
KZPH,small_airport,Zephyrhills Municipal Airport,28.22820091,-82.15589905,90,FL,ZPH
MHTG,medium_airport,Toncontín International Airport,14.06089973,-87.21720123,3294,FM,TGU
MYGF,medium_airport,Grand Bahama International Airport,26.55870056,-78.69560242,7,FP,FPO
EHLW,medium_airport,Leeuwarden Air Base,53.22859955,5.760560036,3,FR,LWR
OAFR,small_airport,Farah Airport,32.366667,62.165347,3083,FRA,FAH
OASD,small_airport,Shindand Air Base,33.3913,62.261002,3773,FRA,OAH
FABL,medium_airport,Bram Fischer International Airport,-29.092699,26.302401,4457,FS,BFN
FABU,small_airport,Bultfontein Airport,-28.273369,26.135835,4400,FS,UTE
FAFB,medium_airport,Ficksburg Sentraoes Airport,-28.82309914,27.90889931,5315,FS,FCB
FAHR,medium_airport,Harrismith Airport,-28.23509979,29.10619926,5585,FS,HRS
FATN,small_airport,Thaba Nchu Tar Airport,-29.31780052,26.82279968,4941,FS,TCU
OMFJ,medium_airport,Fujairah International Airport,25.11219978,56.32400131,152,FU,FJR
NGFU,medium_airport,Funafuti International Airport,-8.525,179.195999,9,FUN,FUN
OAMN,medium_airport,Maymana Zahiraddin Faryabi Airport,35.930801,64.760902,2743,FYB,MMZ
EICA,small_airport,Connemara Regional Airport,53.2303009,-9.467780113,70,G,NNR
EICM,medium_airport,Galway Airport,53.30020142,-8.941590309,81,G,GWY
EIIM,small_airport,Inishmore Aerodrome,53.1067009,-9.653610229,24,G,IOR
EIIR,small_airport,Inisheer Aerodrome,53.06470108,-9.510899544,40,G,INQ
EIMN,small_airport,Inishmaan Aerodrome,53.0929985,-9.568059921,15,G,IIA
ESMX,medium_airport,Växjö Kronoberg Airport,56.92910004,14.72799969,610,G,VXO
FMCH,medium_airport,Prince Said Ibrahim International Airport,-11.5337,43.2719,93,G,HAH
FQXA,small_airport,Xai-Xai Airport,-25.03779984,33.62739944,,G,VJB
FXQG,small_airport,Quthing Airport,-30.40749931,27.69330025,5350,G,UTG
MRCR,small_airport,Playa Samara/Carrillo Airport,9.870510101,-85.48139954,50,G,PLD
